,Node ID,MESSAGE,merge
33,9.222072917509693e+17,@rahim_shaw @JKap415 https://t.co/fju5FB8l31 Trust the process am I right lmaooooooooooòooo,Excite
34,9.337461850761667e+17,@BeniTheGangster @CypherTheGod @BryantBomb17 @eGoTheIcoN @realDonaldTrump Cyph participated in a white supremacy Ra… https://t.co/yppeiXQsd1,"Dismay, Build"
35,9.736357209874678e+17,"RT @SportsCenter: Breaking: Kirk Cousins is likely to sign with the Minnesota Vikings, per @AdamSchefter. No final decisions have been mad…""","Excite, Enhance"
36,9.20322394161664e+17,#AllForOne,Back
37,9.204784216035451e+17,RT @cavs: #CavsOpener win in the books.   #AllForOne https://t.co/FBrzb2ooVs,Excite
38,9.323486379668275e+17,"Vikings lead the Rams 21-7 in the 4th quarter.  Entering Week 11, the Rams were 1 of 2 teams that hadn't trailed by… https://t.co/DNEcw3vW84","Explain, Back"
39,9.31250266074157e+17,How come I can't join back in a Gb after I lag out,—
40,9.375786484582031e+17,RT @ArifHasanNFL: Your #1 in the NFC Vikings https://t.co/BmZu8C4Pj7,Back
41,9.635182106907648e+17,@CODGamepedia EG is 1-3,Explain
42,9.345098638745068e+17,DWYANE HASKINS su7euej osjsjdj,"Excite, Back"
43,9.408322944068854e+17,I am not paying for this garbage ass app #NetNeutrailty,"Dismay, Neutralize"
44,9.447323479073464e+17,@TheKingImpulxz You think Dedication 6 is going to be good,"Engage, Build"
45,9.116450307581256e+17,Future Heisman winner,Back
46,9.377513619025633e+17,"RT @SportsCenter: Derrick Rose's self-imposed exile has ended, sources tell @wojespn:  https://t.co/GxlwbpXfRV",Enhance
47,9.302406793803858e+17,THE ROOK VS. THE KING!! https://t.co/ogY8AEtRCt,Excite
48,9.388678895739986e+17,@FPB_ZA nah fam,Dismiss
49,9.4509567894605e+17,RT @Rob_Lowder: The traits displayed by Jimmy Garoppolo in this video is the stuff #NFL front offices spend countless hours searching for i…,"Excite, Back"
50,9.388763269325988e+17,RT @mrfeelswildride: @FPB_ZA nah fam,Dismiss
51,9.273533004244582e+17,52 points on 17-20 shooting in 3 quarters.  James Harden is having a HUGE night in Houston. https://t.co/s4LVErCCeu,"Explain, Excite, Back"
52,9.371850095507415e+17,B1G  #GoBucks https://t.co/Lr85o5OlWT,Back
53,9.3132717036177e+17,"@charlieINTEL @Bl3nd_VRS @Nadeshot 100%:  Players join MP lobbies based on lowest ping, not SBMM. Period. (MMR will… https://t.co/H7sbsaUWB7",Neutralize
54,9.631820007262495e+17,RT @realDonaldTrump: 4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently Pas…,"Excite, Boost"
55,9.616793663705498e+17,Here’s a tribute to Cleveland Cavaliers legend Isaiah Thomas... https://t.co/Tx8XBJYI0V,Back
56,9.21527316492247e+17,"RT @mitchelmusso: fuckin Diamond plaid, double collar, pants like wtf lookin motherfucka and the shoes? What in the actual fuck. Why they d…","Dismay, Neutralize"
57,9.345085995268096e+17,@19truthserum You watching the Michigan Ohio state game?,"Engage, Build"
58,9.193524453687173e+17,RT @BuckeyeVideos: J.K. DOBBINS! 7-0 Buckeyes! #OSUvsNEB https://t.co/x5GUWtnTBt,"Explain, Excite, Back"
59,9.527101706516275e+17,I'm in shock,"Excite, Dismay"
60,9.337557957197619e+17,Case Keenum making a hell of a case to remain Vikings starting QB with impressive opening drive td pass.,"Excite, Back"
61,9.385642026456392e+17,https://t.co/Z9Ie4ea8hw,—
62,9.166919227517747e+17,@OpTicHitch where's the bracket,Engage
63,9.422480894102938e+17,"RT @cn12321: @decemate @BevilsCOD @Wiz_K1LLa TEAM WITH SLOSS, HES EASILY THE BEST F/A OUT THEIR, STOP BEING STUPID AND TEAM WITH SOMEONE WH…","Dismay, Build, Neutralize"
64,9.214268308292772e+17,RT @World_Wide_Wob: lollll Patrick Beverley is just the most amazing troll  ... “Bitch!!” https://t.co/qABtddtzX1,"Excite, Back"
65,9.440697080804516e+17,LIL Wayne is a inspiration,Back
66,9.396847458223022e+17,[Pool D | Alpha]  UP NEXT:  This is what we've all wanted..  @eUnitedgg vs. @FaZeClan up next on Alpha!  #CWLDallas… https://t.co/KODIi7e4Or,Excite
67,9.501511781086659e+17,RT @cavs: RETWEET to help send @KingJames to @NBAAllStar! #NBAVOTE https://t.co/55lw5RWfDC,"Engage, Excite, Back"
68,9.156739374466048e+17,@BleacherReport https://t.co/rmoSI4mCt9,Explain
69,9.386640206299505e+17,@BleacherReport @MarkKaboly @hominizing @ChemWreck,Build
70,9.472896154546627e+17,@DeRxssi @FreeMahrez @LILBTHEBASEDGOD None of the Lakers pass except lonzo. Whole team pads their stats all game lol,"Back, Neutralize"
71,9.683530265357763e+17,"RT @ShonNotSean: Been living in NYC way too long. Saw a guy on the tracks this AM, with the B train speeding ahead. Tried to pull him out a…","Dismay, Neutralize"
72,9.395790181475205e+17,@Sulpho Who costed,Dismay
73,9.1202122141551e+17,Cooper D'oh! https://t.co/3nI8uzvDd1,Dismay
74,9.073987128587264e+17,RT @DomClare: Does this stop the preseason overreaction about the #Vikings not being able to score? https://t.co/hd0gYOsCtY,"Enhance, Back"
75,9.446214402461245e+17,RT @ChickenColeman: 107-46? Nigga y’all fucking garbage https://t.co/Za9cxOcUI0,"Explain, Dismay, Neutralize"
76,9.246778293920358e+17,We got what we came here for. #Skol https://t.co/NXxh2paCAp,"Excite, Back"
77,9.520058629561303e+17,Embarrassing basketball. Fucking terrible @cavs,"Dismay, Neutralize"
78,9.26869634006913e+17,Thank you to the Halo community for the support the past two years. Loved every second of it but its time to go back to where I started.,"Excite, Boost"
79,9.273640964791214e+17,RT @SportsCenter: 52 points on 17-20 shooting in 3 quarters.  James Harden is having a HUGE night in Houston. https://t.co/s4LVErCCeu,"Explain, Excite, Back"
80,9.451795306076365e+17,@ZooMaa Bunch of horny gamers replyed to this. Insane!!,"Dismay, Neutralize"
81,9.345793280877158e+17,https://t.co/UfHmVrsLJE,—
82,9.469147287559864e+17,This is the verified Gofundme of the 28 year old father that was shot &amp; killed due to the swatting! If you cant aff… https://t.co/jrSZzumsXS,"Engage, Dismay, Back"
83,9.196276337674732e+17,Braxton miller is a bust,Neutralize
84,9.301856828653117e+17,@DomClare Can you just wait until next season for teddy to play. We are on a 5 game winning streak rn with keenum and doing great,"Back, Neutralize"
85,9.527113763672269e+17,RT @Vikings: WHAT ON THE WORLD JUST HAPPENED??!?!?,"Excite, Dismay"
86,9.342160480012861e+17,"RT @JordanCMaly: If this really is the end for Derrick Rose, I have to share this again. Out of every moment he gave Bulls fans, this one t…","Engage, Dismay, Back"
87,9.186966716004557e+17,@JKap415 Who cares lol,Dismiss
88,9.146846508822979e+17,@Charmvnder @ViNZiIIA @CypherTheGod,Build
89,9.421992996931461e+17,With the left hand.   #CavsJazz | #AllForOne https://t.co/Y0bwu6suKB,"Excite, Back"
90,9.53518679702016e+17,RT @MeninistTweet: imagine driving and out of no where you see this https://t.co/VKVgRgm7Dw,Excite
91,9.28331809678676e+17,RT @Vikings: .@teddyb_h2o has been activated to the 53-man roster and Sam Bradford has been placed on IR.  https://t.co/xC5yQkSL4j https://…,—
92,9.37143745660715e+17,DOPKINS LET'S GOoOOOOOo,"Excite, Back"
93,9.298213391874048e+17,RT @DomClare: 7-2! Good team win by the #Vikings!! #Skol,"Excite, Back"
94,9.603521954588467e+17,RT @SportsCenter: The Philadelphia Eagles have done it! https://t.co/uT8aErG78L,"Excite, Back"
95,9.320891809429873e+17,RT @OhioStateFB: The B1G East belongs to the Buckeyes.  #GoBucks https://t.co/cfYGDH2o7X,Back
96,9.762818536812872e+17,"Maryland Shooting:  - good guy with a gun stops bad guy with a gun  So, no... No CNN No Vigil No Parades No walk out No Protest No Hoggs","Dismay, Neutralize"
97,9.073795004466012e+17,RT @DaiIyMemeSuppIy: wow florida is getting bad https://t.co/WRiO9crWGT,Neutralize
98,9.764874414345953e+17,Good one https://t.co/tvoRbc366p,Back
99,9.527351027689636e+17,2 time Fucking champion @MJCheen,Back
0,1.2903102782072463e+18,"RT @SpokespersonCHN: What the #US is doing with #TikTok reminds one of France's #Alstom in The American Trap and Japan's #TOSHIBA in the 1980s. For the US, national security is  just another name for hegemony. https://t.co/LuUkO0lrg2","Distort, Neutralize"
1,1.2902950645691187e+18,"RT @Ali_AkbarMSM: #QurbaaniWithMinhaj  The Holy Prophet Muhammad a.s Said that Charity clear,s you from all sin,s and cool the fire of hell.",Explain
2,1.2902366112721633e+18,"“Kindness is a mark of faith, and whoever is not kind has no faith” Prophet Muhammad (peace be upon him)",—
3,1.2903583258304594e+18,Start of Tour de France in Denmark moved to 2022 | More sports News https://t.co/Hb1N1MR8vj,—
4,1.2902873740989317e+18,@cordonblues09 haven't seen such a beautiful cake even in France,—
5,1.290354142318338e+18,"RT @theworldindex: Number of nuclear reactors under construction:  China: 12 India: 7 Russia: 4 S Korea: 4 UAE: 4 Bangladesh: 2 Belarus: 2 Japan: 2 Slovakia: 2 PAK: 2 Turkey: 2 UK: 2 US: 2 Argentina: 1 Finland: 1 France: 1 Iran: 1  (World Nuclear Association, 2020)",Enhance
6,1.2903242805097144e+18,RT @mfr_990: Let's see the real face of so called Islamic country where arrogant of Prophet Muhammad (SAW) is killed the Ghazi is arrested.... So shame...  #غازی_فیصل_کورہا_کرو https://t.co/6neRe43Pc4,"Dismay, Neutralize"
7,1.290314134752551e+18,"RT @Captain_sahb: As citizen of Pakistan,  I testify that there is No GOD but ALLAH &amp; Prophet MUHAMMAD ﷺ is the Last Messenger of ALLAH. ❤️",Back
8,1.2902646479588434e+18,"Prophet is reported to have said: Do not invoke incomplete salawat upon me"". He was asked: ""What is incomplete salawat?"" He replied them: ""When you say: 'O Allah",—
9,1.288417597143343e+18,@ReadingFC  the giant of the English Championship along with Macron the technical sponsor of the RFC as well as the international leader in Teamwear for the sportswear sector is looking to present the new 'Home' and 'Away' kits for the 2020-2021 season. #WorkHardPlayHarder https://t.co/Z28TTlbYsf,—
10,1.2899511319766467e+18,#Rajinified OVERLOAAAAD #MoondruMugam Opening celebration in France #MoondruMugamInFrance @sathyamovies @AannaFilms @FranceRMM @RajiniFC_France https://t.co/N0vuCuRks7,—
11,1.29031141434359e+18,"RT @camillecasabar: Go France!!!!   Spain, anyone? Hello? Can someone say something, do something about separated binational couples/families? Por favor.  @sanchezcastejon  @AranchaGlezLaya @MAECgob @salmebe @interiorgob #LoveIsNotTourism https://t.co/n17r9q1ZfY","Back, Neutralize"
12,1.2903523486578565e+18,"RT @amnakalim07: ‘May the curse of Allah be on the one who treats animals harshly.’  ‘Those who are kind and considerate to Allah’s creatures, Allah bestows his kindness &amp; affection on them. Show kindness to the creatures on the earth so that Allah may b kind 2 u.’  Prophet Muhammad (P.B.U.H).","Enhance, Back"
13,1.2903870293904998e+18,RT @Abdullah7481439: When someone insult our religion and prophet Muhammad (saw) Allah will send a hero for him...salute to all our hero's... Hazrat Muhammad (saw) is the last prophet of Allah... #غازی_فیصل_کورہا_کرو https://t.co/bFMiViZjZD,Back
14,1.290332954070102e+18,"RT @DeadlineDayLive: BREAKING: Arsenal are now in pole position to sign Chelsea winger Willian after offering the Brazilian the best salary on the table and a contract that lasts for 3 seasons, with an option of a further year.  (Source: France Football) https://t.co/4f3JVozNVO",—
15,1.2903123573658993e+18,"France Football have made a change on their article, they now reporting that Willian offer for Willian is 3 years but he wants 3 years with an option for a 4th.",—
16,1.290425025040773e+18,"RT @omarsuleiman504: The Prophet Muhammad (peace be upon him) said that a smile in the face of your brother is charity.  He also said that what you spend on your family is the most rewardable form of charity.  How rewarding then is a smile in the face of a parent, spouse, sibling, or child?","Explain, Back"
17,1.2903412153057075e+18,"The Prophet Muhammad (peace be upon him) said that a smile in the face of your brother is charity.  He also said that what you spend on your family is the most rewardable form of charity.  How rewarding then is a smile in the face of a parent, spouse, sibling, or child?","Explain, Back"
18,1.2903717833553265e+18,RT @mfr_990: Let's see the real face of so called Islamic country where arrogant of Prophet Muhammad (SAW) is killed the Ghazi is arrested.... So shame...  #غازی_فیصل_کورہا_کرو https://t.co/6neRe43Pc4,"Dismay, Neutralize"
19,1.2903641222159852e+18,RT @itsaamirr: “A good man treats women with honour.”   Prophet Muhammad (peace be upon him),—
20,1.2903742942502175e+18,RT @Ncp_France: เงี่ยนมันก็ต้องมีกาลเทศะนะ,—
21,1.2902760370209423e+18,Tour de France start from Copenhagen delayed from 2021 to 2022: mayor https://t.co/iP9UrWizFF,—
22,1.290322440711598e+18,"RT @Solange54138238: Please  France, give  Germany and  Spain another example how to safely let binational couples and families reunite. #LoveIsNotTourism https://t.co/Madsrvx2uY","Back, Neutralize"
23,1.2901983714294292e+18,"1. The war mongering mentality of Fulani  can never be extinguished by logic nor reason. As an aimless wandering tribe of herders, they are genetically programmed to levy war on lazy unsuspecting indigenous populations that make the mistake of welcoming them. https://t.co/1lZq5MtClz","Dismay, Neutralize"
24,1.2902914594098258e+18,RT @artinfinitus: Éric Le Pape La Bretagne #ericlepape #french #bretagne #fineart #arthistory #art #artgallery #artinfinitus #arte #italy #paris #france #abstractpainting  #postimpressionism #landscapepainting  #beautiful #red #reflection #sea #seascapepainting #seascape #marines #ship #boat https://t.co/PF6C9BNioZ,—
25,1.2904146763508408e+18,@majidkhan1_ @Ahmedullahwazir @Gulalai_Ismail Hazrat Muhammad S.A.W ALLAH TALLAH ki taraf se aye huay Last Prophet and Messenger hain. Ghulam Ahmed Qadiyani ne nabi honay ka dawa kia. Jo ke bohat bara gunah hai. Ye Quran Paak ko nhi maantay. Non Muslims tu hain hi non Muslims.,—
26,1.2902559748847616e+18,เมื่อเพื่อนชาวฝรั่งเศสต้องการกำลังใจ  I was born to make you happy. Please DON’T CRY &amp; SMILE. I’m with you. See you in #France or #SouthKorea or #Thailand ❤️    Love  #SelfLove #LoveYourself #BeKindToOneAnother #treatpeoplewithkindness https://t.co/Imi9X5bzwi,Excite
27,1.290281274368594e+18,RT @ShellenbergerMD: Germany’s renewables experiment is over.   By 2025 it will have spent $580B to make electricity nearly 2x more expensive &amp; 10x more carbon-intensive than France’s.   The reason renewables can’t power modern civilization is because they were never meant to. https://t.co/zHwRTePEoI,"Explain, Neutralize"
28,1.290364635237974e+18,RT @lauferdaniel: World's largest airplane has just touched down in #TelAviv Israel.  @AntonovCompany's massive #AN225 flew from Maine via Scotland &amp; France.  #AvGeek https://t.co/8A4UIVnbpo,Explain
29,1.290301969161007e+18,@Thierry413701 @Quantic_QBit Lol t'as trop raison Macron démission,Neutralize
30,1.2903471865727263e+18," Galatasaray'da kadro dışı kalan Mustafa Kapı, Fransız ekibi Lille ile beş yıllık sözleşme imzalayacak.  (France Football) https://t.co/u6XQcVQXCW",—
31,1.2903755167850824e+18,"RT @omarsuleiman504: The Prophet Muhammad (peace be upon him) said that a smile in the face of your brother is charity.  He also said that what you spend on your family is the most rewardable form of charity.  How rewarding then is a smile in the face of a parent, spouse, sibling, or child?","Engage, Back"
32,1.290286718793343e+18,RT @budimandjatmiko: Juga menyuburkan nasionalisme baru di wilayah2 jajahan krn banyak korban pandemi Black Death di wikayah jajahan. Di koloni2 ini jg muncul intelektual2 non Eropa hasil politik etis (krn tuntutan liberal &amp; sosialis produk Revolusi Prancis yg berdampak se Eropa),Explain
33,1.2899856060684943e+18,"Look at those ears! Cave bear head painted in the Alcove of the Lions at Chauvet in southern France. This remarkable image was created deep below ground by lamplight over 30,000 years ago. Image source https://t.co/hW9EM6YJay https://t.co/zGVXTyJ0lR",Enhance
34,1.290332628940464e+18,"RT @SPA_Officiel:  1 retweet = 1€ reversé à la SPA  Objectif : 40000 partages !   Chaque été, en France, 60000 animaux sont abandonnés. Et les aires d'autoroute ne sont pas épargnées...   Pour la 4ème année consécutive, @GroupeAPRR s'engage avec La SPA pour lutter contre ce fléau. https://t.co/4drriJR481","Explain, Dismay"
35,1.2894138522248397e+18,"Le projet de loi bioéthique vient d'être adopté en 2e lecture par l’Assemblée nationale. Je salue l'engagement des parlementaires, des membres du gouvernement et du Comité consultatif national d'éthique. Ils ont permis l'adoption d'un texte d'équilibre dans un débat apaisé.","Explain, Back"
36,1.2904252035546235e+18,"RT @omarsuleiman504: The Prophet Muhammad (peace be upon him) said that a smile in the face of your brother is charity.  He also said that what you spend on your family is the most rewardable form of charity.  How rewarding then is a smile in the face of a parent, spouse, sibling, or child?","Explain, Back"
37,1.29032128430857e+18,"LILLE'E BİR TÜRK DAHA!  FLAŞ! Lille, Mustafa Kapı ile 5 yıllık sözleşme imzalayacak. (France Football) https://t.co/07POHBFHa9","Engage, Enhance"
38,1.2902886689014292e+18,If you need organic #youtube_promotion or #video_promotion or any types of promotion please knock me at #fiverr My link is https://t.co/r3nbhlKuyV  #freelance #agriculture #DonaldTrump #corona #usa #UK #France #Canada #WorkFromHome #YouTube #Instagram #sports #Spotify #music #Art,Enhance
39,1.2904363449264046e+18,"RT @LovesNotTourism: Music to our ears! France ❤️ “The health crisis has separated couples [..].The @francediplo &amp; @Interieur_Gouv teams work with the #LoveIsNotTourism collective, which legitimately covers this painful subject.  ➡️ a dedicated solution will be implemented in the next few days.” https://t.co/bs2gDEqaOC","Excite, Back"
40,1.290311843890598e+18,"RT @Solange54138238:  Merci, la France!!!!!!  Please,  do the same!!! @BMI_Bund @BMISprecher @HeikoMaas @EU2020DE",—
41,1.2902210532313416e+18,I can speak for #Europe : we have a duty to #Africa. #France can and should assist with holding à Peace talk for #Cameroon. French citizens want it.  Politicians don’t care.  #peace #dialogue #european https://t.co/SiwWDYkQDi,"Build, Neutralize"
42,1.2903182701097574e+18,https://t.co/SSpPFMZK5i #MAILMERGE #fiverr #microsoftexcel #mailmerge #Microsoftword #freelancer #farhangul #lookingfor  #USA #Remotework #Contractor #australia #Germany #france #UK #online,—
43,1.2904134467696435e+18,RT @DhermiesWilly: Comment il me fais trop rire @FaresSalvatore1  en saah il veut plus rentrer en France il a demander la nationalité mexicaine je crois  https://t.co/UBRLPsQSQC,—
44,1.2900835839823626e+18,"Les pauvres en France même un regard vous leur accordez pas, ils ont même pas le droit à l'humanité ou la dignité, vous venez leur reprocher d'avoir le RSA ou la bourse du CROUS mais crari vous allez payer un avion pr sauver les miséreux de l'Asie ptdrr bye",Dismay
45,1.2902169865347932e+18,"@zhang_heqing French President Macron loves Tik Tok, unlike those fearmongering Washington politicians.","Back, Neutralize"
46,1.290383440123134e+18,Fuck France,Neutralize
47,1.2901931180509348e+18,ขี้เงี่ยนก็จริงแต่ไม่ใช่ทุกครั้งที่จะแสดงมันออกมาได้นะ,—
48,1.2903862653518275e+18,France halts ratification of extradition treaty with Hong Kong https://t.co/hIK1c4OSey,—
49,1.2902902066171126e+18,RT @ChukwudubemIgb1: @MaziNnamdiKanu @SecPompeo @StateDept @USIP @silentslaughter @UKinNigeria @EUinNigeria @CFR_org @UN_Nigeria @10DowningStreet @JohnCampbellcfr https://t.co/NX9QTCoa3S @netanyahu @PMOIndia @JapanGov @CanadianPM @BrazilGovNews @BorisJohnson_MP @MFA_Austria @KremlinRussia_E @SpainMFA @EmmanuelMacron @EU_Commission @FinGovernment @jihadwatchRS @SwedishPM @govsingapore @ScottMorrisonMP @UKParliament @PressSec @WhiteHouse,Build
50,1.2902977511801733e+18,"After #USA and #UK, now in #France!!  #Life_In_The_Cage  published at @loeildelaphotographie They published 40 images of this project!!  https://t.co/NijGyBdqSb  #personalproject #quarantine #pandemic #COVID19 #selfportrait #Chittagong #Bangladesh #Lockdown #Isolation #Dairy",Enhance
51,1.2903213142140314e+18,"RT @Captain_sahb: As citizen of Pakistan,  I testify that there is No GOD but ALLAH &amp; Prophet MUHAMMAD ﷺ is the Last Messenger of ALLAH. ❤️","Engage, Back"
52,1.2903409142427484e+18,@iamhamzaabbasi May he be the true lover of Allah Almighty and the last prophet Hazrat Muhammad (PBUH),Back
53,1.2903458018358518e+18,RT @Icarus__Flight: RAPPEL : c’est illégal en France d’entraver l’accès à un avortement sécurisé et de donner de fausses informations dessus. https://t.co/r4FDyMRCZu,Explain
54,1.2902954028397322e+18,"New update: 03 August https://t.co/iozvgppIB4 Poland, France: +48732104585, +48732104585 Canada: +12048005784 United States : +12012987508, +12056627095 United Kingdom: +447418312628, +447418312843 Estonia, France: +37282720127, +33644639578",—
55,1.2904257160566907e+18,"RT @CraigCons: Prophet Muhammad was known as Al-Amin, or “The Trustworthy.”  He earned this name based on his reputation as a successful merchant.  Muhammad said: “Speak the truth, keep your promises, fulfill your trusts.”  Empowering words. Truthfulness is the foundation of all human virtues.","Explain, Back"
56,1.2902736499839877e+18,"Member states of the @UN, especially @USUN, @UKUN_NewYork &amp; #France must recognize #China's brutal atrocities against #Uyghurs &amp; other Turkic peoples in #EastTurkistan as a #GENOCIDE. The #UN Security Council must ACT to put an end to the #UyghurGenocide. https://t.co/HHH2vPjh91","Dismay, Neutralize"
57,1.2902989902531092e+18,My mum just asked “what does pommes frittes sauce mean?” To which Max confidently replied “APPLE SAUCE”. This is gonna be a great week in France.,Engage
58,1.2904252159405302e+18,RT @Abdullah7481439: When someone insult our religion and prophet Muhammad (saw) Allah will send a hero for him...salute to all our hero's... Hazrat Muhammad (saw) is the last prophet of Allah... #غازی_فیصل_کورہا_کرو https://t.co/bFMiViZjZD,"Engage, Back"
59,1.2903823980147507e+18,RT @moraimauy: #France https://t.co/ezuRLFZTxM,—
60,1.2902994624772096e+18,"RT @Reveident: @andrewayou @RenaudCamus C'est curieux. Parce que, vu l'immigration de masse d'Africains en France, je n'ai pas souvenance que les juifs se seraient précipités VERS l'Allemagne du temps du nazisme... J'ai dû mal étudier l'histoire...","Distort, Neutralize"
61,1.2903944639872164e+18,"@MJibranNasir @Nihaan_Ali_ @CMShehbaz @betterpakistan @AzmaBokhari @SardarMsohail Islam is a sensitive subject in Pakistan, meanwhile i saw you mostly sitting with enemies of islam. Why you supported tahir? Someone come and can say anything  about our religion and our Prophet Hazrat Muhammad PBUH, you are expecting to us, we don't do/ say anything about him?","Engage, Dismay, Neutralize"
62,1.2833859751551058e+18,"Provence-Alpes-Côte d'Azur, France  via: mary_quincy https://t.co/nLpKqu60mc",—
63,1.290315482914906e+18,"RT @Solange54138238: Please  France, give  Germany and  Spain another example how to safely let binational couples and families reunite. #LoveIsNotTourism https://t.co/Madsrvx2uY","Back, Neutralize"
64,1.290366491515392e+18,"RT @decentralises: Étrangers : Oh oui les français, Paris, le tour eiffel, l'amour  La France IRL : https://t.co/Hq1s3lw2AA",Excite
65,1.2902793811143393e+18,Trabzonspor Macron ile olan anlaşmasını yenilemedi.Mevcut sözleşmeye göre bu sezon sözleşmenin kapsadığı son sezon.Yeni sözleşme için bir durum henüz yok.Puma global olarak Macron’dan çok daha ileride bir marka ve kumaş kalitesininde daha iyi olduğunu rahatlıkla söyleyebiliriz.,Explain
66,1.2904006760115446e+18,RT @Abdullah7481439: When someone insult our religion and prophet Muhammad (saw) Allah will send a hero for him...salute to all our hero's... Hazrat Muhammad (saw) is the last prophet of Allah... #غازی_فیصل_کورہا_کرو https://t.co/bFMiViZjZD,"Explain, Back"
67,1.2904177991651697e+18,StayGate: Research team in France : Cabbage helps prevent covid https://t.co/ohzjRUW23I,"Enhance, Back"
68,1.2904080998541353e+18,Juninho Pernambucano:  ️ I started by copying free-kicks taken by Marcelinho,—
69,1.2902620775257457e+18,Cycling-Start of Tour de France in Denmark moved to 2022 https://t.co/huZLn4W4m3,Explain
70,1.2903498028831089e+18,"France reports 3,376 new COVID-19 cases over three-day period https://t.co/4c985HLlvd",Explain
71,1.2903104164977009e+18,"RT @libe: #MaFrontièreBienAimée —  Du privilège de pouvoir marcher dans la belle vallée de la Roya, à cheval entre la France et l'Italie, sans jamais se soucier des gendarmes qui filent sur les routes https://t.co/zNEJiFroeo",Engage
